date,round,type,winner_raw,score,loser_raw,duration,tournament_url,page_number,tournament_name
2025-06-05,Round 2,WS,Akane YAMAGUCHI (3) Rank 3 Elo 2379 (+3),21-12 / 21-17,SUNG Shuo Yun Rank 20 Elo 1920 (-3),39,https://badmintonranks.com/tournament?id=14466,4,Indonesia Open 2025
2025-06-04,Round 1,MS,LI Shi Feng (4) Rank 4 Elo 2323 (+4),21-15 / 21-14,Brian YANG Rank 34 Elo 1867 (-4),50,https://badmintonranks.com/tournament?id=14466,4,Indonesia Open 2025
2025-06-04,Round 1,MS,LEONG Jun Hao Rank 25 Elo 2143 (+12),21-13 / 21-12,Chico Aura DWI WARD.. Rank 44 Elo 1942 (-13),40,https://badmintonranks.com/tournament?id=14466,4,Indonesia Open 2025
2025-06-04,Round 1,MD,KIM Won .. / SEO Seu.. (5) Rank 6 Elo 2177 (+3),21-15 / 21-11,CHEN Zh.. / LIN Yu Chi.. Rank 36 Elo 1734 (-6),31,https://badmintonranks.com/tournament?id=14466,4,Indonesia Open 2025
2025-06-04,Round 1,MD,Takumi N.. / Yuichi SHI.. Rank 35 Elo 1811 (+33),11-21 / 21-17 / 23-21,Kenya MI.. / Hiroki OK.. Rank 25 Elo 1821 (-32),59,https://badmintonranks.com/tournament?id=14466,4,Indonesia Open 2025
2025-06-04,Round 1,WS,Kirsty GILMOUR Rank 28 Elo 1930 (+22),22-20 / 21-16,GOH Jin Wei Rank 49 Elo 1865 (-24),37,https://badmintonranks.com/tournament?id=14466,4,Indonesia Open 2025
2025-06-04,Round 1,MD,Rasmus .. / Frederik S.. Rank 16 Elo 1921 (+48),21-13 / 19-21 / 21-18,Aaron CH.. / SOH Wo.. (3) Rank 3 Elo 2263 (-44),59,https://badmintonranks.com/tournament?id=14466,5,Indonesia Open 2025
2025-06-04,Round 1,WD,Treesa J.. / GAYATRI .. Rank 12 Elo 1942 (+6),21-14 / 22-20,Polina B.. / Yevheniia .. Rank 19 Elo 1590 (-14),34,https://badmintonranks.com/tournament?id=14466,5,Indonesia Open 2025
2025-06-04,Round 1,WD,LI Yi jing / LUO Xu .. (5) Rank 6 Elo 2022 (+12),21-6 / 21-12,TENG Ch.. / YANG Ch.. Rank 32 Elo 1805 (-15),34,https://badmintonranks.com/tournament?id=14466,5,Indonesia Open 2025
2025-06-04,Round 1,WD,KIM Hye .. / KONG H.. (7) Rank 7 Elo 2184 (+8),21-11 / 15-21 / 21-19,Lauren L.. / Allison Qu.. Rank 64 Elo 1876 (-8),71,https://badmintonranks.com/tournament?id=14466,5,Indonesia Open 2025
2025-06-04,Round 1,WS,WANG Zhi Yi (2) Rank 2 Elo 2469 (+4),21-11 / 21-13,HSU Wen Chi Rank 25 Elo 2027 (-4),36,https://badmintonranks.com/tournament?id=14466,5,Indonesia Open 2025
2025-06-04,Round 1,WD,Pearly TA.. / THINAAH.. (4) Rank 4 Elo 2112 (+4),21-16 / 21-17,SUNG Sh.. / YU Chien .. Rank 15 Elo 1669 (-7),42,https://badmintonranks.com/tournament?id=14466,5,Indonesia Open 2025
2025-06-04,Round 1,MD,CHEN Bo.. / LIU Yi Rank 13 Elo 2015 (+16),21-17 / 22-20,Hiroki MI.. / Kyohei YA.. Rank 30 Elo 1875 (-18),42,https://badmintonranks.com/tournament?id=14466,5,Indonesia Open 2025
2025-06-04,Round 1,WD,ONG Xin .. / Carmen TI.. Rank 47 Elo 1584 (+75),10-21 / 21-14 / 21-17,Isyana Sy.. / Rinjani Kw.. Rank 59 Elo 1687 (-54),54,https://badmintonranks.com/tournament?id=14466,5,Indonesia Open 2025
2025-06-04,Round 1,MD,Dechapol.. / Kittinupon.. Rank 14 Elo 2008 (+23),21-23 / 21-17 / 21-18,Christo P.. / Toma Juni.. Rank 17 Elo 1966 (-24),71,https://badmintonranks.com/tournament?id=14466,5,Indonesia Open 2025
2025-06-04,Round 1,XD,Amri SYA.. / Nita Violin.. Rank 25 Elo 1885 (+19),14-21 / 25-23 / 21-16,LU Ming .. / HUNG En-.. Rank 28 Elo 1757 (-23),65,https://badmintonranks.com/tournament?id=14466,5,Indonesia Open 2025
2025-06-04,Round 1,WD,YEUNG .. / YEUNG P.. Rank 14 Elo 1816 (+20),21-11 / 24-22,Arlya Nab.. / Az Zahra .. Rank 55 Elo 1692 (-27),51,https://badmintonranks.com/tournament?id=14466,5,Indonesia Open 2025
2025-06-04,Round 1,MD,Takuro H.. / Yugo KOB.. Rank 19 Elo 2065 (+10),21-13 / 21-9,CHOON.. / Muhamma.. Rank 39 Elo 1808 (-11),29,https://badmintonranks.com/tournament?id=14466,5,Indonesia Open 2025
2025-06-04,Round 1,MD,Fajar ALF.. / Muhamm.. (6) Rank 5 Elo 2047 (+14),21-10 / 21-19,Daniel LU.. / Mads VES.. Rank 27 Elo 1863 (-15),35,https://badmintonranks.com/tournament?id=14466,5,Indonesia Open 2025
2025-06-04,Round 1,XD,GOH Soo.. / LAI Shev.. (3) Rank 5 Elo 2029 (+9),21-12 / 21-16,Phuwana.. / Sapsiree .. Rank 112 Elo 1753 (-12),31,https://badmintonranks.com/tournament?id=14466,5,Indonesia Open 2025
2025-06-04,Round 1,MD,Kim AST.. / Anders S.. (2) Rank 2 Elo 2098 (+14),21-18 / 11-21 / 21-15,CHIU Hsi.. / WANG Ch.. Rank 18 Elo 1933 (-15),51,https://badmintonranks.com/tournament?id=14466,5,Indonesia Open 2025
2025-06-04,Round 1,WD,Yuki FUK.. / Mayu MAT.. Rank 9 Elo 2130 (+6),21-14 / 21-23 / 21-12,Gronya S.. / Angela YU Rank 61 Elo 1788 (-9),62,https://badmintonranks.com/tournament?id=14466,5,Indonesia Open 2025
2025-06-04,Round 1,WD,Rin IWAN.. / Kie NAK.. (6) Rank 5 Elo 2146 (+3),21-15 / 21-9,Jackie D.. / Crystal LAI Rank 36 Elo 1683 (-6),35,https://badmintonranks.com/tournament?id=14466,5,Indonesia Open 2025
2025-06-04,Round 1,MS,Alex LANIER (8) Rank 8 Elo 2299 (+4),21-13 Ret.,WENG Hong Yang Rank 12 Elo 2196 (-4),27,https://badmintonranks.com/tournament?id=14466,5,Indonesia Open 2025
2025-06-04,Round 1,WS,LIN Hsiang Ti Rank 29 Elo 1931 (+22),21-19 / 21-10,Komang Ayu Cahya DE.. Rank 36 Elo 1859 (-24),42,https://badmintonranks.com/tournament?id=14466,5,Indonesia Open 2025
2025-06-04,Round 1,WD,Lanny Tri.. / Siti Fadia .. Rank 20 Elo 1981 (+16),19-21 / 21-16 / 21-19,GO Pei K.. / TEOH Mei.. Rank 23 Elo 1835 (-18),69,https://badmintonranks.com/tournament?id=14466,5,Indonesia Open 2025
