date,tournament,round,type,winner_name,winner_rank,winner_elo,loser_name,loser_rank,loser_elo
2021-11-24,Indonesia Open 2021,Round 1,MS,SAI PRANEETH B.,16,1979,Toma Junior POPOV,33,1962
2021-11-24,Indonesia Open 2021,Round 1,MD,Mahiro KANEKO / Yunosuke KUBOTA,60,1667,Panjer Aji.. / Bryan Sid..,79,1603
2021-11-24,Indonesia Open 2021,Round 1,WD,Vivian HO / LIM Chiew Sien,110,1636,Melani M.. / Tryola NA..,,1533
2021-11-24,Indonesia Open 2021,Round 1,MD,Akira KOGA / Taichi SAITO,24,1875,Supak JOMKOH / Kittinupong KEDREN,48,1855
2021-11-24,Indonesia Open 2021,Round 1,MD,Fajar ALFIAN / Muhammad Shohibul FIKRI,8,2042,Leo Rolly CARNANDO / Daniel MARTHIN,27,1909
2021-11-24,Indonesia Open 2021,Round 1,MS,Chico Aura DWI WARDOYO,60,1944,Henrikho Wibowo KHO,,1500
2021-11-24,Indonesia Open 2021,Round 1,WS,PUSARLA V. Sindhu,7,2341,Aya OHORI,22,2073
2021-11-24,Indonesia Open 2021,Round 1,MD,Kim ASTRUP / Anders Skaarup RASMUSSEN,9,2024,Lucas CORVEE / Ronan LABAR,56,1671
2021-11-24,Indonesia Open 2021,Round 1,WS,Asuka TAKAHASHI,71,1783,Fitriani FITRIANI,41,1669
2021-11-24,Indonesia Open 2021,Round 1,WS,PAI Yu Po,39,1812,Line CHRISTOPHERSEN,27,1934
2021-11-24,Indonesia Open 2021,Round 1,XD,TANG Chun Man / TSE Ying Suet,7,2101,SEO Seung Jae / KIM Hye Jeong,,1473
2021-11-24,Indonesia Open 2021,Round 1,MD,Muhammad Shohibul FIKRI / Bagas MAULANA,30,1835,Sabar Karyaman GUTAMA / Moh Reza Pahlevi ISFAHANI,101,1795
2021-11-24,Indonesia Open 2021,Round 1,WS,Busanan ONGBAMRUNGPHAN,12,2180,Evgeniya KOSETSKAYA,24,1985
2021-11-24,Indonesia Open 2021,Round 1,WS,Yvonne LI,26,1870,Neslihan ARIN,28,2015
2021-11-24,Indonesia Open 2021,Round 1,WD,LEE Meng Yean / YAP Cheng Wen,134,1592,Alexandra BOE / Mette POULSEN,31,1707
2021-11-24,Indonesia Open 2021,Round 1,WD,Mayu MATSUMOTO / Ayako SAKURAMOTO,82,1849,Mariia STOLIARENKO / Yelyzaveta ZHARKA,101,1523
2021-11-24,Indonesia Open 2021,Round 1,WS,SIM Yu Jin,54,1798,Michelle LI,11,2137
2021-11-24,Indonesia Open 2021,Round 1,WS,Beatriz CORRALES,55,1702,Marie BATOMENE,59,1686
2021-11-24,Indonesia Open 2021,Round 1,XD,Kyohei YAMASHITA / Naru SHINOYA,67,1641,Dhruv KAPILA / REDDY Sikki Gupta,124,1748
2021-11-24,Indonesia Open 2021,Round 1,WD,Rin IWANAGA / Kie NAKANISHI,36,1793,Chisato HOSHI / Aoi MATSUSHIMA,37,1899
2021-11-25,Indonesia Open 2021,Round 2,XD,Hafiz FAIZAL / Gloria Emanuelle WIDJAJA,10,1974,Takuro HOKI / Nami MATSUYAMA,,1700
2021-11-25,Indonesia Open 2021,Round 2,XD,TAN Kian Meng / LAI Pei Jing,12,1953,Adnan MAULANA / Mychelle Crhystine BANDASO,35,1832
2021-11-25,Indonesia Open 2021,Round 2,MS,Viktor AXELSEN,2,2583,KIDAMBI Srikanth,14,2180
2021-11-25,Indonesia Open 2021,Round 2,XD,Dechapol PUAVARANUKROH / Sapsiree TAERATTANACHAI,2,2298,CHEN Tang Jie / PECK Yen Wei,42,1819
2021-11-25,Indonesia Open 2021,Round 2,MS,SAI PRANEETH B.,16,2005,Christo POPOV,70,1883
2021-11-25,Indonesia Open 2021,Round 2,MS,LOH Kean Yew,26,2199,Kento MOMOTA,1,2521
2021-11-25,Indonesia Open 2021,Round 2,XD,CHAN Peng Soon / GOH Liu Ying,9,1858,Jones Ralfy JANSEN / Linda EFLER,146,1708
2021-11-25,Indonesia Open 2021,Round 2,MD,Satwiksairaj RANKIREDDY / Chirag SHETTY,11,2063,KANG Min Hyuk / SEO Seung Jae,,1797
2021-11-25,Indonesia Open 2021,Round 2,MD,GOH Sze Fei / Nur IZZUDDIN,19,1935,LEE Yang / WANG Chang,3,2283
2021-11-25,Indonesia Open 2021,Round 2,MS,Hans-Kristian Solberg VITTINGHUS,21,2104,Kanta TSUNEYAMA,10,2238
2021-11-25,Indonesia Open 2021,Round 2,MD,Akira KOGA / Taichi SAITO,24,1902,LU Ching Yao / YANG Po Hsuan,20,1941
2021-11-25,Indonesia Open 2021,Round 2,XD,Mathias THYRRI / Alexandra BOE,15,1966,Praveen JORDAN / Melati Daeva OKTAVIANTI,5,2078
